Player	Team	Age	GP	W	L	Min	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	Plus/Minus
Norman Powell	LAC	31	43	25	18	33.3	24	8.3	16.8	49.6	3.4	7.9	42.9	3.9	4.7	82.4	0.3	3.2	3.5	2.3	2	1.3	0.2	1.9	34	1	0	4.4
Zion Williamson	NOP	24	17	4	13	28.2	23.9	9.1	17	53.6	0.1	0.6	18.2	5.5	8.5	64.8	2.7	4.6	7.3	4.9	3.2	1.2	1	2.9	43.4	5	0	-2.4
Tyler Herro	MIA	25	49	25	24	35.6	23.7	8.2	17.7	46.4	3.8	9.7	38.8	3.5	4.1	86	0.4	5.2	5.6	5.6	2.7	0.7	0.1	1.4	38.7	7	0	0.1
Zach LaVine	SAC	29	46	20	26	34.2	23.5	8.5	16.8	50.4	3.1	7.2	42.6	3.5	4.3	80.4	0.3	4.4	4.7	4.4	2.8	0.9	0.2	1.6	36.3	3	0	-0.1
Trae Young	ATL	26	50	24	26	36.1	23.4	7.2	17.8	40.8	2.9	8.7	33.6	6	7	85.7	0.5	2.7	3.2	11.4	4.8	1.2	0.2	2	43.8	31	0	0.3
Stephen Curry	GSW	36	44	21	23	32.1	23.3	7.8	17.9	43.6	4.4	11.1	39.2	3.4	3.6	93.1	0.5	4	4.5	6.1	2.9	1	0.5	1.3	39.5	6	0	2.3
Jaren Jackson Jr.	MEM	25	51	35	16	29.8	23.2	8.4	16.9	49.7	2	5.4	36.6	4.5	5.8	77.4	1.5	4.6	6	2.2	2.3	1.3	1.6	3.3	40.4	4	0	7.4
Jaylen Brown	BOS	28	46	32	14	35.3	22.9	8.5	18.5	46.1	1.9	6	32.4	4	5.3	74.6	1.4	4.6	6	4.8	2.7	1.2	0.3	2.6	39.2	5	0	5.5
Trey Murphy III	NOP	24	37	8	29	35.4	22.6	7.6	16.1	47.2	3.3	8.5	38.7	4.1	4.6	89.3	0.9	4.2	5.1	3.4	1.7	1.2	0.7	2.3	38	1	0	-7.1
Paolo Banchero	ORL	22	21	7	14	33.4	22.5	8	18.7	42.9	1.6	5.4	29.2	4.9	7.6	64.8	1	6	7.1	5	3.2	0.7	0.8	2.2	39.6	3	0	-5
